Name,Location,CarDetail,Engine CC,Power,Seats,Mileage Km/L,Price
2013 Maruti Alto 800 VXI,Chennai,"1,07,304 kms • Petrol • Manual • 1st Owner",796 CC,47.33bhp,5,18.6 kmpl,₹ 2 Lakh
2017 Honda Amaze S Petrol,Chennai,"40,448 kms • Petrol • Manual • 1st Owner",1199 CC,88.76bhp,5,17.52 kmpl,₹ 5.50 Lakh
2021 Kia Sonet 1.5 HTK Diesel,Chennai,"20,677 kms • Diesel • Manual • 1st Owner",1493 CC,98.63bhp,5,14.2 kmpl,₹ 11.17 Lakh
2021 Hyundai Venue S Plus,Chennai,"13,532 kms • Petrol • Manual • 1st Owner",1197 CC,81.86bhp,5,19.81 kmpl,₹ 8.89 Lakh
2022 Hyundai Alcazar Platinum 7-Seater AT,Chennai,"3,876 kms • Petrol • Automatic • 1st Owner",1999 CC,156.9bhp,7,18.3 kmpl,₹ 20.12 Lakh
2015 Hyundai i10 Sportz 1.1L,Chennai,"71,769 kms • Petrol • Manual • 2nd Owner",1086 CC,68.05bhp,5,24.7 kmpl,₹ 3.45 Lakh
2020 Honda Amaze V CVT Petrol,Chennai,"8,097 kms • Petrol • Automatic • 1st Owner",1199 CC,88.76bhp,5,24.7 kmpl,₹ 8.31 Lakh
2018 Maruti Alto 800 VXI,Chennai,"54,151 kms • Petrol • Manual • 1st Owner",796 CC,47.3bhp,5,20.7 kmpl,₹ 3.54 Lakh
2018 Maruti Alto 800 VXI,Chennai,"20,749 kms • Petrol • Manual • 2nd Owner",796 CC,47.3bhp,5,22.41 kmpl,₹ 3.42 Lakh
2022 Hyundai Grand i10 Nios AMT Asta,Chennai,"1,787 kms • Petrol • Automatic • 1st Owner",1197 CC,81.86bhp,5,20.51 kmpl,₹ 9.04 Lakh
2021 Maruti Swift Dzire VXI,Chennai,"17,451 kms • Petrol • Manual • 1st Owner",1197 CC,88.50bhp,5,20.7 kmpl,₹ 7.35 Lakh
2014 Maruti Wagon R VXI BS IV,Chennai,"71,682 kms • Petrol • Manual • 1st Owner",998 CC,67.04bhp,5,20.7 kmpl,₹ 3.53 Lakh
2020 Hyundai Grand i10 Nios AMT Sportz,Chennai,"25,354 kms • Petrol • Automatic • 2nd Owner",1197 CC,81.86bhp,5,17.4 kmpl,₹ 6.90 Lakh
