Name,Location,CarDetail,Engine CC,Power,Seats,Mileage Km/L,Price
2019 Toyota Innova Crysta 2.4 GX MT,Jaipur,"20,000 kms • Diesel • Manual • 1st Owner",2393 CC,147.51bhp,7,13.68 kmpl,₹ 18.50 Lakh
2018 Maruti Celerio ZXI AMT BSIV,Jaipur,"73,543 kms • Petrol • Automatic • 1st Owner",998 CC,67.04bhp,5,23.1 kmpl,₹ 4.86 Lakh
2021 Maruti Alto 800 VXI,Jaipur,"9,033 kms • Petrol • Manual • 1st Owner",796 CC,47.33bhp,5,22.05 kmpl,₹ 4.01 Lakh
2017 Maruti Ciaz AT ZXi Plus,Jaipur,"38,228 kms • Petrol • Automatic • 1st Owner",1373 CC,91.1bhp,5,19.12 kmpl,₹ 8.01 Lakh
2018 Toyota Innova Crysta 2.8 ZX AT BSIV,Jaipur,"85,000 kms • Diesel • Automatic • 1st Owner",2755 CC,171.5bhp,7,11.36 kmpl,₹ 19.90 Lakh
2016 BMW X1 sDrive20d Expedition,Jaipur,"50,192 kms • Diesel • Automatic • 1st Owner",1995 CC,188bhp,5,20.68 kmpl,₹ 24.90 Lakh
2014 Honda City i DTEC V,Jaipur,"82,000 kms • Diesel • Manual • 1st Owner",1498 CC,98.6bhp,5,26 kmpl,₹ 5.70 Lakh
2022 Maruti Vitara Brezza VXI,Jaipur,"10,000 kms • Petrol • Manual • 1st Owner",1462 CC,103.26bhp,5,17.03 kmpl,₹ 9.45 Lakh
2018 Toyota Innova Crysta 2.4 VX MT,Jaipur,"59,000 kms • Diesel • Manual • 1st Owner",2393 CC,147.51bhp,7,13.68 kmpl,₹ 18 Lakh
2012 Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,Jaipur,"1,18,000 kms • Diesel • Manual • 1st Owner",2494 CC,100.6bhp,8,12.99 kmpl,₹ 5.50 Lakh
2018 Hyundai Verna CRDi 1.6 SX,Jaipur,"71,000 kms • Diesel • Manual • 2nd Owner",1582 CC,126.2bhp,5,22 kmpl,₹ 9.90 Lakh
2017 Honda City i-VTEC CVT VX,Jaipur,"77,200 kms • Petrol • Automatic • 1st Owner",1497 CC,117.6bhp,5,18 kmpl,₹ 7.70 Lakh
2017 Mercedes-Benz E-Class E250 Edition E,Jaipur,"84,000 kms • Diesel • Automatic • 2nd Owner",2143 CC,204bhp,5,15 kmpl,₹ 21 Lakh
2017 Mahindra TUV 300 mHAWK100 T8,Jaipur,"1,20,000 kms • Diesel • Manual • 2nd Owner",1493 CC,100bhp,7,18.49 kmpl,₹ 5.90 Lakh
2009 Honda City 1.5 V AT,Jaipur,"61,000 kms • Petrol • Automatic • 2nd Owner",1497 CC,"118PS at 6,600 rpm",5,16.8 kmpl,₹ 3.25 Lakh
