Name,Location,CarDetail,Engine CC,Power,Seats,Mileage Km/L,Price
2016 Maruti Ciaz ZDi SHVS,Mumbai,"78,000 kms • Diesel • Manual • 1st Owner",1248 CC,88.5bhp,5,28.09 kmpl,₹ 6.99 Lakh
2022 Maruti Celerio VXI CNG,Mumbai,"1,655 kms • Cng • Manual • 1st Owner",998 CC,55.92bhp,5,35.6 km/kg,₹ 6.74 Lakh
2017 Maruti Baleno 1.2 CVT Alpha,Mumbai,"14,782 kms • Petrol • Automatic • 1st Owner",1197 CC,83.1bhp,5,21.4 kmpl,₹ 7.12 Lakh
2019 Hyundai Grand i10 1.2 Kappa Sportz BSIV,Mumbai,"10,191 kms • Petrol • Manual • 1st Owner",1197 CC,81.86bhp,5,18.9 kmpl,₹ 5.89 Lakh
2014 BMW 3 Series 320d Prestige,Mumbai,"65,000 kms • Diesel • Automatic • 3rd Owner",1995 CC,184bhp,5,18.88 kmpl,₹ 12.75 Lakh
2015 Maruti Swift VXI,Mumbai,"71,605 kms • Petrol • Manual • 2nd Owner",1197 CC,81.80bhp,5,21.21 kmpl,₹ 4 Lakh
2016 Hyundai i20 Sportz 1.2,Mumbai,"48,346 kms • Petrol • Manual • 1st Owner",1197 CC,81.83bhp,5,18.6 kmpl,₹ 5.58 Lakh
2014 Hyundai Grand i10 Sportz,Mumbai,"42,069 kms • Petrol • Manual • 1st Owner",1197 CC,82bhp,5,18.9 kmpl,₹ 3.96 Lakh
2015 Mercedes-Benz E-Class E250 CDI Avantgarde,Mumbai,"70,000 kms • Diesel • Automatic • 1st Owner",2143 CC,203bhp,5,14.21 kmpl,₹ 17.50 Lakh
2013 Honda Amaze S i-Vtech,Mumbai,"65,662 kms • Petrol • Manual • 1st Owner",1198 CC,86.7bhp,5,18 kmpl,₹ 3.73 Lakh
2011 Nissan Micra XV,Mumbai,"55,630 kms • Petrol • Manual • 1st Owner",1198 CC,75bhp,5,18.06 kmpl,₹ 2.50 Lakh
2012 Honda Jazz X,Mumbai,"26,000 kms • Petrol • Manual • 2nd Owner",1198 CC,88.8bhp,5,16.7 kmpl,₹ 2.99 Lakh
2015 Mercedes-Benz E-Class E250 CDI Avantgarde,Mumbai,"43,000 kms • Diesel • Automatic • 1st Owner",2143 CC,203bhp,5,14.21 kmpl,₹ 18.75 Lakh
2016 Renault KWID 1.0 RXT,Mumbai,"21,000 kms • Petrol • Manual • 1st Owner",999 CC,67bhp,5,23.01 kmpl,₹ 2.99 Lakh
2018 Maruti Ciaz Alpha Automatic BSIV,Mumbai,"43,000 kms • Petrol • Automatic • 2nd Owner",1462 CC,103.25bhp,5,20.28 kmpl,₹ 7.45 Lakh
2011 Mercedes-Benz E-Class E250 CDI Blue Efficiency,Mumbai,"75,000 kms • Diesel • Automatic • 1st Owner",2143 CC,203bhp,5,14.21 kmpl,₹ 9.45 Lakh
2017 BMW 5 Series 520d M Sport,Mumbai,"39,000 kms • Diesel • Automatic • 1st Owner",1995 CC,190bhp,5,18.12 kmpl,₹ 33 Lakh
2015 Maruti Wagon R LXI CNG,Mumbai,"36,700 kms • Cng • Manual • 1st Owner",998 CC,58.16bhp,5,26.6 kmpl,₹ 3.55 Lakh
2017 Mercedes-Benz E-Class Expression E 220 d BSIV,Mumbai,"42,000 kms • Diesel • Automatic • 1st Owner",1950 CC,191.7bhp,5,16.1 kmpl,₹ 38.50 Lakh
2013 Maruti Swift Dzire ZDI,Mumbai,"72,471 kms • Diesel • Manual • 2nd Owner",1248 CC,74bhp,5,23.4 kmpl,₹ 4.75 Lakh
2018 Mahindra XUV500 W11 AT BSIV,Mumbai,"63,000 kms • Diesel • Automatic • 1st Owner",2179 CC,152.87bhp,7,15.1 kmpl,₹ 15.65 Lakh
2017 Hyundai EON Magna Plus,Mumbai,"25,581 kms • Petrol • Manual • 2nd Owner",814 CC,55.2bhp,5,21.1 kmpl,₹ 3.68 Lakh
2014 Datsun GO A,Mumbai,"18,329 kms • Petrol • Manual • 1st Owner",1198 CC,67.06bhp,5,20.63 kmpl,₹ 2.66 Lakh
2019 Ford Freestyle Trend Petrol BSIV,Mumbai,"9,046 kms • Petrol • Manual • 1st Owner",1194 CC,94.68bhp,5,19 kmpl,₹ 5.31 Lakh
2009 Bentley Continental Flying Spur BSIV,Mumbai,"95,000 kms • Petrol • Automatic • 2nd Owner",5998 CC,552bhp,4,8.6 kmpl,₹ 67.50 Lakh
2017 Hyundai Grand i10 Sportz,Mumbai,"10,492 kms • Petrol • Manual • 1st Owner",1197 CC,81.86bhp,5,18.9 kmpl,₹ 5.03 Lakh
