Name,Location,CarDetail,Engine CC,Power,Seats,Mileage Km/L,Price
2021 Renault Kiger RXZ AMT DT,Mumbai,"18,842 kms • Petrol • Automatic • 1st Owner",999 CC,71.01bhp,5,19.03 kmpl,₹ 8.54 Lakh
2014 Maruti Ritz VXi,Mumbai,"13,568 kms • Petrol • Manual • 1st Owner",1197 CC,85.80bhp,5,18.5 kmpl,₹ 3.43 Lakh
2014 BMW 3 Series 320d Prestige,Mumbai,"65,000 kms • Diesel • Automatic • 3rd Owner",1995 CC,184bhp,5,18.88 kmpl,₹ 12.75 Lakh
2014 Honda Amaze EX i-Vtech,Mumbai,"43,195 kms • Petrol • Manual • 1st Owner",1198 CC,86.7bhp,5,18 kmpl,₹ 3.29 Lakh
2018 Maruti Alto 800 CNG LXI,Mumbai,"18,122 kms • Cng • Manual • 1st Owner",796 CC,40.3bhp,5,33.44 kmpl,₹ 3.30 Lakh
2009 Honda City i VTEC S,Mumbai,"78,766 kms • Petrol • Manual • 2nd Owner",1497 CC,117.3bhp,5,17.4 kmpl,₹ 2.30 Lakh
2017 Audi A6 35 TDI,Mumbai,"70,000 kms • Diesel • Automatic • 2nd Owner",1968 CC,187.74bhp,5,18.53 kmpl,₹ 23.25 Lakh
2015 Honda Amaze S i-Dtech,Mumbai,"74,345 kms • Diesel • Manual • 1st Owner",1498 CC,98.6bhp,5,25.8 kmpl,₹ 3.95 Lakh
2011 Volkswagen Polo Diesel Trendline 1.2L,Mumbai,"78,566 kms • Diesel • Manual • 2nd Owner",1199 CC,73.9bhp,5,22.07 kmpl,₹ 2.55 Lakh
2014 Volkswagen Vento Diesel Highline,Mumbai,"69,000 kms • Diesel • Manual • 1st Owner",1598 CC,103.6bhp,5,20.54 kmpl,₹ 4.11 Lakh
2021 BMW 2 Series 220d M Sport 2022-2022,Mumbai,"10,000 kms • Diesel • Automatic • 1st Owner",1995 CC,187.74bhp,5,18.64 kmpl,₹ 41.50 Lakh
2013 Maruti Ertiga ZDI,Mumbai,"59,000 kms • Diesel • Manual • 2nd Owner",1248 CC,88.8bhp,7,20.77 kmpl,₹ 5.10 Lakh
2014 Maruti Swift Dzire VDI,Mumbai,"29,000 kms • Diesel • Manual • 1st Owner",1248 CC,74bhp,5,23.4 kmpl,₹ 5.10 Lakh
2011 Volkswagen Polo Diesel Comfortline 1.2L,Mumbai,"52,122 kms • Diesel • Manual • 2nd Owner",1199 CC,73.9bhp,5,22.07 kmpl,₹ 2.55 Lakh
2017 BMW 5 Series 520d M Sport,Mumbai,"39,000 kms • Diesel • Automatic • 1st Owner",1995 CC,190bhp,5,18.12 kmpl,₹ 33 Lakh
2018 Maruti Ignis 1.2 Delta BSIV,Mumbai,"4,875 kms • Petrol • Manual • 2nd Owner",1197 CC,81.80bhp,5,20.89 kmpl,₹ 4.83 Lakh
2015 Maruti Wagon R LXI CNG,Mumbai,"56,407 kms • Cng • Manual • 1st Owner",998 CC,58.16bhp,5,26.6 kmpl,₹ 3.94 Lakh
2015 Honda City i VTEC V,Mumbai,"51,829 kms • Petrol • Manual • 2nd Owner",1497 CC,117.3bhp,5,17.4 kmpl,₹ 5.29 Lakh
2019 Hyundai Creta 1.6 VTVT AT SX Plus,Mumbai,"60,000 kms • Petrol • Automatic • 1st Owner",1591 CC,121.3bhp,5,13 kmpl,₹ 12.25 Lakh
2014 Maruti Wagon R LXI CNG,Mumbai,"78,403 kms • Cng • Manual • 1st Owner",998 CC,58.16bhp,5,26.6 kmpl,₹ 3.54 Lakh
2012 Maruti Swift VDI,Mumbai,"55,261 kms • Diesel • Manual • 1st Owner",1248 CC,74bhp,5,22.9 kmpl,₹ 4.02 Lakh
2013 Maruti Swift Dzire VXI,Mumbai,"46,095 kms • Petrol • Manual • 1st Owner",1197 CC,85.8bhp,5,19.1 kmpl,₹ 4.29 Lakh
2021 Toyota Fortuner Legender 4x4 AT,Mumbai,"24,000 kms • Diesel • Automatic • 1st Owner",2755 CC,201.15bhp,7,26.6 kmpl,₹ 48.50 Lakh
2014 Maruti Wagon R LXI CNG,Mumbai,"71,223 kms • Cng • Manual • 1st Owner",998 CC,58.16bhp,5,18.3 kmpl,₹ 3.55 Lakh
2011 Toyota Etios Liva G,Mumbai,"48,345 kms • Petrol • Manual • 2nd Owner",1197 CC,85.8bhp,5,18.6 kmpl,₹ 2.35 Lakh
2013 Maruti Swift LXI,Mumbai,"68,000 kms • Petrol • Manual • 2nd Owner",1197 CC,108.62bhp,5,16.35 kmpl,₹ 3.15 Lakh
2020 Volkswagen Vento 1.0 TSI Highline Plus AT,Mumbai,"30,200 kms • Petrol • Automatic • 1st Owner",999 CC,91.19bhp,5,26.08 km/kg,₹ 10.75 Lakh
2015 Maruti Ertiga CNG VXI,Mumbai,"61,000 kms • Cng • Manual • 1st Owner",1462 CC,117.3bhp,7,17.3 kmpl,₹ 6.90 Lakh
2014 Honda Mobilio S i-VTEC,Mumbai,"60,000 kms • Petrol • Manual • 1st Owner",1497 CC,88.7bhp,7,19 kmpl,₹ 5.65 Lakh
2015 Honda Jazz 1.2 V AT i VTEC,Mumbai,"85,500 kms • Petrol • Automatic • 1st Owner",1199 CC,148bhp,5,12 kmpl,₹ 5.15 Lakh
2021 Toyota Innova Crysta 2.4 GX 8 STR AT,Mumbai,"24,268 kms • Diesel • Automatic • 1st Owner",2393 CC,81.80bhp,8,21.01 kmpl,₹ 25.50 Lakh
2021 Maruti Baleno Zeta,Mumbai,"16,200 kms • Petrol • Manual • 1st Owner",1197 CC,58.16bhp,5,26.6 kmpl,₹ 7.45 Lakh
2019 Maruti Wagon R LXI CNG,Mumbai,"36,000 kms • Cng • Manual • 1st Owner",998 CC,58.33bhp,5,32.52 kmpl,₹ 5.40 Lakh
2020 Maruti Wagon R CNG LXI,Mumbai,"21,033 kms • Cng • Manual • 1st Owner",998 CC,170bhp,5,17.9 kmpl,₹ 5.80 Lakh
2018 Mercedes-Benz GLC 220d 4MATIC Sport,Mumbai,"38,000 kms • Diesel • Automatic • 2nd Owner",2143 CC,113.4bhp,5,17.8 kmpl,₹ 39.50 Lakh
2020 Kia Seltos HTX Plus AT D,Mumbai,"27,000 kms • Diesel • Automatic • 1st Owner",1493 CC,58.33bhp,5,31.2 kmpl,₹ 14.95 Lakh
2021 Maruti S-Presso LXI CNG 2019-2022,Mumbai,"31,920 kms • Cng • Manual • 1st Owner",998 CC,88.76bhp,4,19 kmpl,₹ 5.34 Lakh
2019 Honda Amaze V CVT Petrol BSIV,Mumbai,"21,582 kms • Petrol • Automatic • 1st Owner",1199 CC,152.87bhp,5,15.1 kmpl,₹ 7.50 Lakh
2018 Mahindra XUV500 W11 AT BSIV,Mumbai,"63,000 kms • Diesel • Automatic • 1st Owner",2179 CC,68.05bhp,7,28 km/kg,₹ 15.65 Lakh
2020 Hyundai Aura S CNG,Mumbai,"72,988 kms • Cng • Manual • 1st Owner",1197 CC,58.33bhp,5,31.2 kmpl,₹ 7 Lakh
2020 Maruti S-Presso VXI CNG 2019-2020,Mumbai,"18,982 kms • Cng • Manual • 1st Owner",998 CC,108.62bhp,4,16.24 kmpl,₹ 5.32 Lakh
2021 Skoda Rapid 1.0 TSI Style AT,Mumbai,"7,241 kms • Petrol • Automatic • 1st Owner",999 CC,552bhp,5,8.6 kmpl,₹ 11.65 Lakh
2009 Bentley Continental Flying Spur BSIV,Mumbai,"95,000 kms • Petrol • Automatic • 2nd Owner",5998 CC,81.80bhp,4,20.89 kmpl,₹ 67.50 Lakh
2018 Maruti Ignis 1.2 AMT Alpha BSIV,Mumbai,"56,649 kms • Petrol • Automatic • 1st Owner",1197 CC,82.85bhp,5,18.5 kmpl,₹ 5.91 Lakh
2013 Hyundai i20 Sportz 1.2,Mumbai,"12,500 kms • Petrol • Manual • 1st Owner",1197 CC,83.11bhp,5,20.4 kmpl,₹ 3.60 Lakh
2018 Maruti Swift VXI Glory Limited Edition,Mumbai,"28,000 kms • Petrol • Manual • 1st Owner",1197 CC,173bhp,5,17.1 kmpl,₹ 6.45 Lakh
2020 Jeep Compass 2.0 Limited Plus AT,Mumbai,"42,000 kms • Diesel • Automatic • 1st Owner",1956 CC,147.51bhp,5,13.68 kmpl,₹ 21.40 Lakh
2017 Toyota Innova Crysta Touring Sport 2.4 ZX AT,Mumbai,"68,000 kms • Diesel • Manual • 1st Owner",2393 CC,117.3bhp,7,17.4 kmpl,₹ 18.90 Lakh
2013 Honda City i VTEC S,Mumbai,"28,000 kms • Petrol • Manual • 1st Owner",1497 CC,88.76bhp,5,19 kmpl,₹ 4.40 Lakh
2020 Honda Amaze VX CVT Petrol BSIV,Mumbai,"6,500 kms • Petrol • Automatic • 1st Owner",1199 CC,184bhp,5,18.88 kmpl,₹ 8.65 Lakh
2014 BMW 3 Series 320d Prestige,Mumbai,"65,000 kms • Diesel • Automatic • 3rd Owner",1995 CC,187.74bhp,5,18.25 kmpl,₹ 12.75 Lakh
2019 Audi A4 35 TDI Premium Plus,Mumbai,"38,000 kms • Diesel • Automatic • 1st Owner",1968 CC,187.4bhp,5,12 kmpl,₹ 32.85 Lakh
2017 Honda CR-V 2.4L 4WD AT,Mumbai,"74,000 kms • Petrol • Automatic • 1st Owner",2354 CC,"118PS at 6,600 rpm",5,17 kmpl,₹ 13.51 Lakh
2010 Honda City 1.5 V MT,Mumbai,"38,000 kms • Petrol • Manual • 1st Owner",1497 CC,150bhp,5,31.59 km/kg,₹ 3.35 Lakh
2021 Mahindra Thar LX 4-Str Hard Top AT,Mumbai,"11,253 kms • Petrol • Automatic • 1st Owner",1997 CC,40.36bhp,4,18.6 kmpl,₹ 15.90 Lakh
2021 Maruti Alto 800 LXI S-CNG,Mumbai,"16,400 kms • Cng • Manual • 1st Owner",796 CC,85.8bhp,4,14.8 kmpl,₹ 4.64 Lakh
2014 Maruti Swift RS VXI,Mumbai,"48,379 kms • Petrol • Manual • 2nd Owner",1197 CC,121.3bhp,5,12.55 kmpl,₹ 3.75 Lakh
2019 Hyundai Creta 1.6 SX Automatic,Mumbai,"22,000 kms • Petrol • Automatic • 1st Owner",1591 CC,168.5bhp,5,26.2 kmpl,₹ 13.50 Lakh
2014 Toyota Fortuner 4x4 MT,Mumbai,"67,000 kms • Diesel • Manual • 2nd Owner",2982 CC,68.05bhp,7,21.4 kmpl,₹ 15.85 Lakh
2022 Hyundai Grand i10 Nios Sportz CNG,Mumbai,"1,280 kms • Cng • Manual • 1st Owner",1197 CC,58.2bhp,5,18.53 kmpl,₹ 8.02 Lakh
2013 Maruti Wagon R LXI CNG,Mumbai,"35,566 kms • Cng • Manual • 1st Owner",998 CC,83.1bhp,5,19 kmpl,₹ 3.42 Lakh
2017 Maruti Baleno 1.2 Alpha,Mumbai,"51,793 kms • Petrol • Manual • 1st Owner",1197 CC,187.74bhp,5,17.01 kmpl,₹ 5.64 Lakh
2017 Audi A6 35 TDI,Mumbai,"70,000 kms • Diesel • Automatic • 2nd Owner",1968 CC,88.76bhp,5,21.4 kmpl,₹ 23.25 Lakh
2018 Honda Amaze V CVT Petrol BSIV,Mumbai,"66,934 kms • Petrol • Automatic • 1st Owner",1199 CC,126.2bhp,5,18.64 kmpl,₹ 6.37 Lakh
2017 Hyundai Creta 1.6 CRDi AT SX Plus,Mumbai,"63,447 kms • Diesel • Automatic • 1st Owner",1582 CC,83.1bhp,5,21.7 kmpl,₹ 10.45 Lakh
2018 Maruti Baleno 1.2 CVT Zeta,Mumbai,"41,000 kms • Petrol • Automatic • 1st Owner",1197 CC,187.74bhp,5,21.4 kmpl,₹ 6.95 Lakh
2021 BMW 2 Series 220d M Sport 2022-2022,Mumbai,"10,000 kms • Diesel • Automatic • 1st Owner",1995 CC,98.96bhp,5,15.5 kmpl,₹ 41.50 Lakh
2020 Ford Ecosport 1.5 Diesel Titanium,Mumbai,"20,000 kms • Diesel • Manual • 1st Owner",1498 CC,83.1bhp,5,20.68 kmpl,₹ 9.20 Lakh
2016 Maruti Baleno 1.2 Delta,Mumbai,"13,100 kms • Petrol • Manual • 1st Owner",1197 CC,103.3bhp,5,22.7 kmpl,₹ 5.35 Lakh
2010 Maruti SX4 ZXI MT BSIV Leather,Mumbai,"80,000 kms • Petrol • Manual • 2nd Owner",1586 CC,190bhp,5,18.2 kmpl,₹ 1.70 Lakh
2018 BMW X1 xDrive 20d xLine,Mumbai,"43,500 kms • Diesel • Automatic • 1st Owner",1995 CC,89.84bhp,5,18.69 kmpl,₹ 23 Lakh
2013 Ford Ecosport 1.5 DV5 MT Titanium,Mumbai,"73,000 kms • Diesel • Manual • 1st Owner",1498 CC,82.4bhp,5,11 kmpl,₹ 5.15 Lakh
2015 Chevrolet Sail 1.2 LS,Mumbai,"46,000 kms • Petrol • Manual • 1st Owner",1199 CC,103bhp,5,19.56 kmpl,₹ 2.45 Lakh
2019 Maruti Ertiga ZXI AT Petrol,Mumbai,"15,000 kms • Petrol • Automatic • 1st Owner",1462 CC,261.49bhp,7,23 kmpl,₹ 10.95 Lakh
2015 Toyota Land Cruiser VX Premium,Mumbai,"90,000 kms • Diesel • Automatic • 1st Owner",4461 CC,81.80bhp,7,20.36 kmpl,₹ 91 Lakh
2021 Maruti Baleno Zeta CVT,Mumbai,"14,372 kms • Petrol • Automatic • 1st Owner",1197 CC,98.96bhp,5,15.73 kmpl,₹ 8.82 Lakh
2018 Ford Ecosport 1.5 Diesel Ambiente BSIV,Mumbai,"85,173 kms • Diesel • Manual • 1st Owner",1498 CC,78.9bhp,5,18.5 kmpl,₹ 6.45 Lakh
